date	time	sl
20160208	4:00	0.555
20160208	5:00	0.395
20160208	6:00	0.203
20160208	7:00	0.057
20160208	8:00	-0.001
20160208	9:00	0.103
20160208	10:00	0.306
20160208	11:00	0.524
20160208	12:00	0.721
20160208	13:00	0.865
20160208	14:00	0.935
20160208	15:00	0.87
20160208	16:00	0.752
20160208	17:00	0.517
20160208	18:00	0.284
20160208	19:00	0.099
20160208	20:00	-0.021
20160208	21:00	0.045
20160208	22:00	0.194
20160208	23:00	0.391
20160209	0:00	0.629
20160209	1:00	0.794
20160209	2:00	0.869
20160209	3:00	0.83
20160209	4:00	0.723
20160209	5:00	0.557
20160209	6:00	0.337
20160209	7:00	0.159
20160209	8:00	0.071
20160209	9:00	0.123
20160209	10:00	0.295
20160209	11:00	0.504
20160209	12:00	0.733
20160209	13:00	0.971
20160209	14:00	1.062
20160209	15:00	1.075
20160209	16:00	0.964
20160209	17:00	0.782
20160209	18:00	0.569
20160209	19:00	0.328
20160209	20:00	0.177
20160209	21:00	0.121
20160209	22:00	0.192
20160209	23:00	0.406
20160210	0:00	0.629
20160210	1:00	0.837
20160210	2:00	0.975
20160210	3:00	0.951
20160210	4:00	0.836
20160210	5:00	0.659
20160210	6:00	0.397
20160210	7:00	0.175
20160210	8:00	-0.026
20160210	9:00	-0.096
20160210	10:00	-0.029
20160210	11:00	0.154
20160210	12:00	0.365
20160210	13:00	0.61
20160210	14:00	0.794
20160210	15:00	0.866
20160210	16:00	0.808
20160210	17:00	0.669
20160210	18:00	0.447
20160210	19:00	0.204
20160210	20:00	-0.005
20160210	21:00	-0.15
20160210	22:00	-0.18
20160210	23:00	-0.071
20160211	0:00	0.119
20160211	1:00	0.345
20160211	2:00	0.567
20160211	3:00	0.596
20160211	4:00	0.563
20160211	5:00	0.489
20160211	6:00	0.348
20160211	7:00	0.108
20160211	8:00	-0.128
20160211	9:00	-0.285
20160211	10:00	-0.348
20160211	11:00	-0.286
20160211	12:00	-0.176
20160211	13:00	0.054
20160211	14:00	0.252
20160211	15:00	0.4
20160211	16:00	0.443
20160211	17:00	0.374
20160211	18:00	0.255
20160211	19:00	0.023
20160211	20:00	-0.202
20160211	21:00	-0.394
20160211	22:00	-0.513
20160211	23:00	-0.505
20160212	0:00	-0.39
20160212	1:00	-0.154
20160212	2:00	0.105
20160212	3:00	0.303
20160212	4:00	0.406
20160212	5:00	0.391
20160212	6:00	0.293
20160212	7:00	0.117
20160212	8:00	-0.115
20160212	9:00	-0.32
20160212	10:00	-0.461
20160212	11:00	-0.502
20160212	12:00	-0.435
